,permno,Quarter,Unnamed: 0_x,date,ret,shrcd,price,me,Unnamed: 0_y,ea_date,fiscal_period,gics_6d,ret_ex_3d,date_diff,doy_diff,weekday,most_popular_weekday,fraction_on_most_popular_weekday,quantile_group,fraction_of_zeros
277,11775,2021Q3,1360.0,2021-09-30,-0.0783169046044349,11.0,105.8000030517578,943312.8272094728,5189,2021-08-09,2021-06-30,252020,0.048248462,10,3,Monday,Friday,0.6666666666666666,above_median,0.3333333333333333
278,11775,2021Q4,1363.0,2021-12-31,-0.0994809567928314,11.0,93.69000244140624,838431.8318481445,5190,2021-12-10,2021-09-30,252020,0.0071463143,7,-2,Friday,Friday,0.6666666666666666,above_median,0.3333333333333333
290,11825,2021Q1,1414.0,2021-03-31,-0.029158903285861,11.0,25.96999931335449,189555.02498817444,5389,2021-02-18,2020-12-31,453010,0.05676902,1,-1,Thursday,Wednesday,0.5,below_median,0.0
291,11825,2021Q2,1417.0,2021-06-30,0.3744966387748718,11.0,40.959999084472656,299335.6733093262,5390,2021-04-27,2021-03-31,453010,0.11709009,5,3,Tuesday,Wednesday,0.5,above_median,0.0
292,11825,2021Q3,1420.0,2021-09-30,-0.1538643836975098,11.0,35.58000183105469,261726.49346923828,5391,2021-07-28,2021-06-30,453010,0.1192359,6,4,Wednesday,Wednesday,0.5,above_median,0.0
293,11825,2021Q4,1423.0,2021-12-31,0.0776361152529716,11.0,46.5,343728.0,5392,2021-10-27,2021-09-30,453010,0.14883791,6,4,Wednesday,Wednesday,0.5,above_median,0.0
313,11955,2021Q1,1493.0,2021-03-31,0.1686807125806808,11.0,129.02000427246094,54451731.62315369,5773,2021-02-18,2020-12-31,202010,-0.007356507,7,5,Thursday,Tuesday,0.75,above_median,0.0
314,11955,2021Q2,1496.0,2021-06-30,3.559797187335789e-05,11.0,140.11000061035156,59144214.227645874,5774,2021-04-27,2021-03-31,202010,0.004320598,-8,-10,Tuesday,Tuesday,0.75,above_median,0.0
315,11955,2021Q3,1499.0,2021-09-30,-0.0333634205162525,11.0,149.36000061035156,62895346.89701843,5775,2021-07-27,2021-06-30,202010,-0.004666987,-2,-4,Tuesday,Tuesday,0.75,above_median,0.0
316,11955,2021Q4,1502.0,2021-12-31,0.042353868484497,11.0,166.89999389648438,69816937.84680176,5776,2021-10-26,2021-09-30,202010,-0.05526245,-6,-8,Tuesday,Tuesday,0.75,above_median,0.0
317,11990,2021Q1,1505.0,2021-03-31,0.0722123980522155,11.0,48.84999847412109,28167446.47016144,5839,2021-02-08,2020-12-31,402030,0.045010194,11,8,Monday,Tuesday,0.75,above_median,0.0
318,11990,2021Q2,1508.0,2021-06-30,0.0637457892298698,11.0,59.2400016784668,34464588.936496735,5840,2021-05-04,2021-03-31,402030,0.029342039,-2,-3,Tuesday,Tuesday,0.75,above_median,0.0
319,11990,2021Q3,1511.0,2021-09-30,-0.0530409067869186,11.0,60.880001068115234,35494927.90274429,5841,2021-08-03,2021-06-30,402030,0.032242566,-1,-2,Tuesday,Tuesday,0.75,below_median,0.0
320,11990,2021Q4,1514.0,2021-12-31,0.000671632704325,11.0,74.5,43583170.5,5842,2021-11-02,2021-09-30,402030,0.034504045,5,2,Tuesday,Tuesday,0.75,above_median,0.0
323,11995,2021Q1,1522.0,2021-03-31,0.1251460909843445,11.0,288.7799987792969,2062177.971282959,5954,2021-02-26,2020-12-31,302010,-0.017690755,3,1,Friday,Tuesday,0.75,above_median,0.0
324,11995,2021Q2,1525.0,2021-06-30,-0.006890270859003,11.0,402.1300048828125,2871610.364868164,5955,2021-05-11,2021-03-31,302010,0.1124614,7,5,Tuesday,Tuesday,0.75,above_median,0.0
325,11995,2021Q3,1528.0,2021-09-30,-0.0294957924634218,11.0,394.1799926757813,2814839.327697754,5956,2021-08-10,2021-06-30,302010,0.006927182,7,5,Tuesday,Tuesday,0.75,above_median,0.0
326,11995,2021Q4,1531.0,2021-12-31,0.0852130204439163,11.0,619.1900024414062,4421635.807434082,5957,2021-11-09,2021-09-30,302010,0.11065843,7,5,Tuesday,Tuesday,0.75,above_median,0.0
327,12036,2021Q1,1618.0,2021-03-31,-0.0281882267445325,11.0,92.73999786376952,3280399.204437256,6127,2021-01-28,2020-12-31,201070,0.06859833,7,5,Thursday,Thursday,0.5,above_median,0.0
328,12036,2021Q2,1621.0,2021-06-30,-0.0982161164283752,11.0,88.47000122070312,3131838.0432128906,6128,2021-04-20,2021-03-31,201070,0.0020694386,-13,-15,Tuesday,Thursday,0.5,above_median,0.0
329,12036,2021Q3,1624.0,2021-09-30,-0.0176701862365007,11.0,89.55999755859375,3179379.913330078,6129,2021-07-20,2021-06-30,201070,0.01614344,-1,-2,Tuesday,Thursday,0.5,below_median,0.0
330,12036,2021Q4,1627.0,2021-12-31,0.0628426671028137,11.0,104.19000244140624,3698745.086669922,6130,2021-10-21,2021-09-30,201070,-0.037586354,2,0,Thursday,Thursday,0.5,above_median,0.0
343,12068,2021Q1,1750.0,2021-03-31,0.0667402669787406,11.0,19.34000015258789,3204173.8652801514,6423,2021-01-19,2020-12-31,401010,0.020259436,-2,-2,Tuesday,Tuesday,0.75,above_median,0.25
344,12068,2021Q2,1753.0,2021-06-30,-0.0755904838442802,11.0,17.610000610351562,2918540.621154785,6424,2021-04-19,2021-03-31,401010,-0.0014489538,0,-2,Monday,Tuesday,0.75,below_median,0.25
345,12068,2021Q3,1756.0,2021-09-30,0.0174070186913013,11.0,16.950000762939453,2810547.4265060425,6425,2021-07-20,2021-06-30,401010,-0.02818231,1,-1,Tuesday,Tuesday,0.75,below_median,0.25
346,12068,2021Q4,1759.0,2021-12-31,0.0339751429855823,11.0,18.1200008392334,3004984.6991767883,6426,2021-10-19,2021-09-30,401010,0.021091308,1,-1,Tuesday,Tuesday,0.75,below_median,0.25
355,12189,2021Q1,1932.0,2021-03-31,0.1707236766815186,11.0,283.760009765625,606678.9008789062,6910,2021-01-19,2020-12-31,401020,0.018599378,5,3,Tuesday,Wednesday,0.75,above_median,0.25
356,12189,2021Q2,1935.0,2021-06-30,0.0008613264653831,11.0,290.5,622251.0,6911,2021-04-14,2021-03-31,401020,0.035538297,1,0,Wednesday,Wednesday,0.75,below_median,0.25
357,12189,2021Q3,1938.0,2021-09-30,0.0375963412225246,11.0,336.70001220703125,721211.4261474609,6912,2021-07-14,2021-06-30,401020,0.00532174,1,0,Wednesday,Wednesday,0.75,below_median,0.25
358,12189,2021Q4,1941.0,2021-12-31,0.0782898068428039,11.0,419.8800048828125,899382.9704589844,6913,2021-10-13,2021-09-30,401020,0.017325163,0,-1,Wednesday,Wednesday,0.75,below_median,0.25
359,12209,2021Q1,1944.0,2021-03-31,-0.0526315309107303,11.0,5.400000095367432,84261.6014881134,6947,2021-03-25,2020-12-31,302020,-0.08777743,-6,-21,Thursday,Monday,0.5,above_median,0.0
